handle,title,Product Type,Category,tags,SKU,Weight,Better Home Price,Retail Price,Description,Brand,Features,Material,Returns Policy,Manufacturer URL,Warranty,url,Color,Finish,Material,Style,Image Src,Image Alt Text
parryware-glory-basin-with-pedestal-long-c041c,Parryware Glory Basin with Pedestal - Long C041C,Wash Basin,,Bathroom and Kitchen fixtures,HAWA0088-23681917,0.0,1696.0,1930.0,,Parryware,C041C Basin :  530 x 410 x 205mm| C0383 Pedestal,,Immediately return goods on delivery in case of any damages found.,httpswww.parryware.incatalogueproductssanitarywarebasinwash-basins-pedestalgloryglory-basin-pedestal-long-white-color-C0383,,https://betterhomeapp.com/products/parryware-glory-basin-with-pedestal-long-c041c,,,,C0383 Pedestal,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/dca4464f-026d-4a61-a619-6b14925e4134_par4.jpg?v=1695415453,
parryware-glory-basin-with-pedestal-long-c041c,Parryware Glory Basin with Pedestal - Long C041C,Wash Basin,,Bathroom and Kitchen fixtures,HAWA0088-24507183,0.0,3216.0,3890.0,,Parryware,C041C Basin :  530 x 410 x 205mm| C0383 Pedestal,,Immediately return goods on delivery in case of any damages found.,httpswww.parryware.incatalogueproductssanitarywarebasinwash-basins-pedestalgloryglory-basin-pedestal-long-white-color-C0383,,https://betterhomeapp.com/products/parryware-glory-basin-with-pedestal-long-c041c,,,,Whole Product,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/dca4464f-026d-4a61-a619-6b14925e4134_par4.jpg?v=1695415453,
parryware-glory-basin-with-pedestal-long-c041c,Parryware Glory Basin with Pedestal - Long C041C,Wash Basin,,Bathroom and Kitchen fixtures,HAWA0088-24507184,0.0,1719.0,1960.0,,Parryware,C041C Basin :  530 x 410 x 205mm| C0383 Pedestal,,Immediately return goods on delivery in case of any damages found.,httpswww.parryware.incatalogueproductssanitarywarebasinwash-basins-pedestalgloryglory-basin-pedestal-long-white-color-C0383,,https://betterhomeapp.com/products/parryware-glory-basin-with-pedestal-long-c041c,,,,C041C Basin 530 x 410 x 205mm,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/dca4464f-026d-4a61-a619-6b14925e4134_par4.jpg?v=1695415453,
parryware-flair-wall-hung-basin-with-pedestal-c0460,Parryware Flair Wall - Hung Basin With Pedestal C0460,Wash Basin,,Bathroom and Kitchen fixtures,SAWA0271-23681705,0.0,1696.0,1910.0,Bottom side glazed,Parryware,Bowl depth (mm): 185| Bowl length (mm): 550| Bowl position: Central| Bowl width (mm): 400| Cutting type: Straight| Fixing kit: Included| Installation type: Wall-hung| Material: Vitreous china| Overflow type: Standard| Recommended for public spaces| Shape: Round Space-saving Sustainable product Undersurface ground Without overflow,,Immediately return goods on delivery in case of any damages found.,httpswww.parryware.incatalogueproductssanitarywarebasinwash-basins-pedestalflairflair-wash-basins-C0460,,https://betterhomeapp.com/products/parryware-flair-wall-hung-basin-with-pedestal-c0460,,,,C0460 Basin 550 x 400 x 185mm,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/be96bcf6-33c7-4462-879f-49fbedb30af4_pra3.jpg?v=1695415442,
parryware-flair-wall-hung-basin-with-pedestal-c0460,Parryware Flair Wall - Hung Basin With Pedestal C0460,Wash Basin,,Bathroom and Kitchen fixtures,SAWA0271-24508146,0.0,2865.0,3400.0,Bottom side glazed,Parryware,Bowl depth (mm): 185| Bowl length (mm): 550| Bowl position: Central| Bowl width (mm): 400| Cutting type: Straight| Fixing kit: Included| Installation type: Wall-hung| Material: Vitreous china| Overflow type: Standard| Recommended for public spaces| Shape: Round Space-saving Sustainable product Undersurface ground Without overflow,,Immediately return goods on delivery in case of any damages found.,httpswww.parryware.incatalogueproductssanitarywarebasinwash-basins-pedestalflairflair-wash-basins-C0460,,https://betterhomeapp.com/products/parryware-flair-wall-hung-basin-with-pedestal-c0460,,,,Whole Product,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/56443964-6b6a-49aa-a68f-6f6e26c09194_pra3a.jpg?v=1695415442,
parryware-flair-wall-hung-basin-with-pedestal-c0460,Parryware Flair Wall - Hung Basin With Pedestal C0460,Wash Basin,,Bathroom and Kitchen fixtures,SAWA0271-24508147,0.0,1369.0,1490.0,Bottom side glazed,Parryware,Bowl depth (mm): 185| Bowl length (mm): 550| Bowl position: Central| Bowl width (mm): 400| Cutting type: Straight| Fixing kit: Included| Installation type: Wall-hung| Material: Vitreous china| Overflow type: Standard| Recommended for public spaces| Shape: Round Space-saving Sustainable product Undersurface ground Without overflow,,Immediately return goods on delivery in case of any damages found.,httpswww.parryware.incatalogueproductssanitarywarebasinwash-basins-pedestalflairflair-wash-basins-C0460,,https://betterhomeapp.com/products/parryware-flair-wall-hung-basin-with-pedestal-c0460,,,,C0316 Pedestal-Short,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/9d5019d5-aeb5-4899-8442-ab4e67866a73_pra3b.png?v=1695415442,
parryware-alpha-wall-mounted-upper-trim-concealed-pillar-cock-concealed-body-pillar-cock-set-g2796a1,Parryware Alpha Wall Mounted Upper Trim Concealed Pillar Cock Concealed Body Pillar Cock Set G2796A1,Faucet,,,HAFA1020-22371947,0.0,1248.0,1520.0,Parryware is the finest quality and rest assured to get the best in terms of both durability and performance,Parryware,Series	 Alpha| Lever	 Single| Mounting type	 Wall| Weight	 4 kg,,Immediately return goods on delivery in case of any damages found.,httpswww.moglix.comparryware-alpha-wall-mounted-upper-trim-concealed-pillar-cock-concealed-body-pillar-cock-set-g2796a1mpmsne5n8dv67ykl,10 Years Manufacturer Warranty from date of invoice,https://betterhomeapp.com/products/parryware-alpha-wall-mounted-upper-trim-concealed-pillar-cock-concealed-body-pillar-cock-set-g2796a1,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/1d8edb7c-8cab-4c43-b761-b361d7a89af9.jpg?v=1695415430,Parryware Alpha Wall Mounted Upper Trim Concealed Pillar Cock Concealed Body Pillar Cock Set G2796A1
parryware-15mm-uno-quarter-single-lever-bath-spout-with-diverter-t5028a1,Parryware Uno Quarter Single Lever Bath Spout with Diverter T5028A1,Faucet,,Bathroom and Kitchen fixtures,HAFA1019-22371946,0.0,1550.0,1920.0,Parryware is the finest quality and rest assured to get the best in terms of both durability and performance,Parryware,Series : Uno| Type : Quarter Turn| Inlet Size : 15 mm| Lever : Single| Model : T5028A1| Material : Chrome Plated Brass| Weight : 3 kg,,Immediately return goods on delivery in case of any damages found.,httpswww.moglix.comparryware-15mm-uno-quarter-single-lever-bath-spout-with-diverter-t5028a1mpmsnrkredm0889n,10 Years Manufacturer Warranty from date of invoice,https://betterhomeapp.com/products/parryware-15mm-uno-quarter-single-lever-bath-spout-with-diverter-t5028a1,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/7df50468-807a-4990-8fa1-72704057ec6b.jpg?v=1695415421,Parryware 15mm Uno Quarter Single Lever Bath Spout with Diverter T5028A1
parryware-alpha-wall-mounting-sink-cock-with-swinging-spout-g2721a1,Parryware Alpha Wall Mounting Sink Cock with Swinging Spout G2721A1,Faucet,,,HAFA1017-22371944,0.0,1641.0,2040.0,Parryware is the finest quality and rest assured to get the best in terms of both durability and performance,Parryware,Series : Alpha| Lever : Single| Mounting type : Wall| Weight : 4 kg,,Immediately return goods on delivery in case of any damages found.,httpswww.moglix.comparryware-alpha-wall-mounting-sink-cock-with-swinging-spout-g2721a1mpmsng9vnl6g8dkp,10 Years Manufacturer Warranty from date of invoice,https://betterhomeapp.com/products/parryware-alpha-wall-mounting-sink-cock-with-swinging-spout-g2721a1,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/e9430e41-2762-473f-b8d8-512861160f6a.jpg?v=1695415411,Parryware Alpha Wall Mounting Sink Cock with Swinging Spout G2721A1
parryware-alpha-bib-cock-with-aerator-g2780a1,Parryware Alpha Bib Cock with Aerator G2780A1,Faucet,,Bathroom and Kitchen fixtures,HAFA1016-22371943,0.0,1051.0,1260.0,Parryware is the finest quality and rest assured to get the best in terms of both durability and performance,Parryware,Series : Alpha| Lever : Single| Weight : 2 kg,,Immediately return goods on delivery in case of any damages found.,httpswww.moglix.comparryware-alpha-bib-cock-with-aerator-g2780a1mpmsnekpqlvmgw52,10 Years Manufacturer Warranty from date of invoice,https://betterhomeapp.com/products/parryware-alpha-bib-cock-with-aerator-g2780a1,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/91765033-b442-4ff9-9dc8-00c29af41a5f.jpg?v=1695415402,Parryware Alpha Bib Cock with Aerator G2780A1
parryware-jade-sink-cock-g0221a1,Parryware Jade Sink Cock G0221A1,Faucet,,,HAFA1010-22371937,0.0,1792.0,2240.0,Parryware is the finest quality and rest assured to get the best in terms of both durability and performance,Parryware,"Type : Half Turn Range| Model : Jade| Aerator type: Integrated aerator| Diverter: Manual| Finish: Chrome| Flow rate (l/min - 3 bar): 9| Installation type: Wall-mounted| Spout position: High| Twin lever control: 1/2 Turn| Type of cartridge: Standard headwork| Water connection thread: 1/2""",,Immediately return goods on delivery in case of any damages found.,httpswww.moglix.comparryware-jade-sink-cock-g0221a1mpmsn2r98luiezrp,10 Years Manufacturer Warranty from date of invoice,https://betterhomeapp.com/products/parryware-jade-sink-cock-g0221a1,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/439cd9df-a2e7-450d-a76e-9f10481aeeca.jpg?v=1695415392,Parryware Jade Sink Cock G0221A1
parryware-droplet-brass-bib-faucet-g4704a1,Parryware Droplet Brass Bib Faucet G4704A1,Faucet,,,HAFA1007-22371934,0.0,1127.0,1360.0,Inlet Connection. Quarter-turn with Ceramic Innerhead. Anti-Corrosive Easy to Clean Easy to Install. Elegant Finish Stunning Shimmering.,Parryware,Series : Droplet| Material : Brass| Finish : Glossy Chrome| Suitable For : Bathroom| Items in Pack : 1 Piece,,Immediately return goods on delivery in case of any damages found.,httpswww.moglix.comparryware-droplet-brass-bib-faucet-g4704a1mpmsn2r9cfo707rl,10 Years Manufacturer Warranty from date of invoice,https://betterhomeapp.com/products/parryware-droplet-brass-bib-faucet-g4704a1,Glossy Chrome Finish,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/d3866f8b-2c82-4f2e-b0cd-4363eb2eb884.jpg?v=1695415384,Parryware Droplet Brass Bib Faucet G4704A1
parryware-droplet-brass-concealed-stopcock-g4711a1,Parryware Droplet Brass Concealed Stopcock G4711A1,Faucet,,,HAFA0992-22371912,0.0,400.0,440.0,Inlet Connection. Quarter-turn with Ceramic Innerhead. Anti-Corrosive Easy to Clean Easy to Install. Elegant Finish Stunning Shimmering.,Parryware,Series : Droplet| Material : Brass| Finish : Glossy Chrome| Suitable For : Bathroom| Items in Pack : 1 Piece,,Immediately return goods on delivery in case of any damages found.,httpswww.moglix.comparryware-droplet-brass-concealed-stopcock-g4711a1mpmsn2w6m6fut1e9,10 Years Manufacturer Warranty from date of invoice,https://betterhomeapp.com/products/parryware-droplet-brass-concealed-stopcock-g4711a1,Glossy Chrome Finish,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/09c95b55-1391-42fb-a96c-8d71fe0e8d3a.jpg?v=1695415367,Parryware Droplet Brass Concealed Stopcock G4711A1
parryware-droplet-brass-deck-mounted-sink-faucet-g4720a1,Parryware Droplet Brass Deck Mounted Sink Faucet G4720A1,Faucet,,,HAFA0991-22371911,0.0,2240.0,2830.0,Inlet Connection. Quarter-turn with Ceramic Innerhead. Anti-Corrosive Easy to Clean Easy to Install. Elegant Finish Stunning Shimmering.,Parryware,Series : Droplet| Material : Brass| Finish : Glossy Chrome| Suitable For : Kitchen| Items in Pack : 1 Piece,,Immediately return goods on delivery in case of any damages found.,httpswww.moglix.comparryware-droplet-brass-deck-mounted-sink-faucet-g4720a1mpmsn2w6m6fut1df,10 Years Manufacturer Warranty from date of invoice,https://betterhomeapp.com/products/parryware-droplet-brass-deck-mounted-sink-faucet-g4720a1,Glossy Chrome Finish,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/1d150e93-6751-4514-9b5d-9afbab197796.jpg?v=1695415357,Parryware Droplet Brass Deck Mounted Sink Faucet G4720A1
parryware-crust-basin-mixer-n-green-g3165a1,Parryware Crust Basin Mixer N Green G3165A1,Faucet,,,HAFA0988-22371908,0.0,3098.0,3970.0,Parryware is the finest quality and rest assured to get the best in terms of both durability and performance,Parryware,Type : Single Lever Range| Model : Crust| Made of: Brass| Suitable For: Bathroom Fittings| Deck Mount Installation Type,,Immediately return goods on delivery in case of any damages found.,httpswww.moglix.comparryware-crust-basin-mixer-n-green-g3165a1gfmpmsn2w6kwgtbwsd,10 Years Manufacturer Warranty from date of invoice,https://betterhomeapp.com/products/parryware-crust-basin-mixer-n-green-g3165a1,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/5383ae0a-efd4-41d5-97bc-c7ae0a5f6c9a.jpg?v=1695415349,Parryware Crust Basin Mixer N Green G3165A1
parryware-jade-angle-valve-g0253a1,Parryware Jade Angle Valve G0253A1,Faucet,,,HAFA0976-22371894,0.0,984.0,1170.0,Parryware is the finest quality and rest assured to get the best in terms of both durability and performance,Parryware,"Type : Half Turn Range| Model : Jade| Aerator type: Integrated aerator| Diameter (mm): 12.7| Finish: Chrome| Flow rate (l/min - 3 bar): 9| Water connection thread: 1/2""",,Immediately return goods on delivery in case of any damages found.,httpswww.moglix.comparryware-jade-angle-valve-g0253a1mpmsn2w6fsqjdprd,10 Years Manufacturer Warranty from date of invoice,https://betterhomeapp.com/products/parryware-jade-angle-valve-g0253a1,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/dbd13112-0151-4327-8d05-92aba9584e88.jpg?v=1695415340,Parryware Jade Angle Valve G0253A1
parryware-euclid-sink-cock-with-swinging-casted-spout-g2321a1,Parryware Euclid Sink Cock With Swinging Casted Spout G2321A1,Faucet,,,HAFA0970-22371886,0.0,2390.0,3020.0,Parryware is the finest quality and rest assured to get the best in terms of both durability and performance,Parryware,"Aerator type: Integrated aerator| Cartridge features: Flow brake| Diverter: Manual| Finish: Chrome| Flow rate (l/min - 3 bar): 9| Installation type: Wall-mounted| Spout length (mm): 156| Spout position: High| Type of cartridge: Ceramic| Water connection diameter (mm): 12.5| Water connection thread: 1/2""",,Immediately return goods on delivery in case of any damages found.,httpswww.moglix.comparryware-euclid-sink-cock-with-swinging-casted-spout-g2321a1mpmsn2r94s08e62v,10 Years Manufacturer Warranty from date of invoice,https://betterhomeapp.com/products/parryware-euclid-sink-cock-with-swinging-casted-spout-g2321a1,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/bcee70d7-83a1-4105-9cc7-1a6418eafc1e.jpg?v=1695415331,Parryware Euclid Sink Cock With Swinging Casted Spout G2321A1
parryware-15mm-uno-quarter-single-lever-bib-cock-t5004a1,Parryware Uno Quarter Single Lever Bib Cock T5004A1,Faucet,,Bathroom and Kitchen fixtures,HAFA0960-22371874,0.0,923.0,1090.0,Parryware is the finest quality and rest assured to get the best in terms of both durability and performance,Parryware,Series : Uno| Type : Quarter Turn| Inlet Size : 15 mm| Lever : Single| Model : T5004A1| Material : Chrome Plated Brass| Weight : 2 kg,,Immediately return goods on delivery in case of any damages found.,httpswww.moglix.comparryware-15mm-uno-quarter-single-lever-bib-cock-t5004a1mpmsn8580v3e0492,10 Years Manufacturer Warranty from date of invoice,https://betterhomeapp.com/products/parryware-15mm-uno-quarter-single-lever-bib-cock-t5004a1,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/4d617666-d545-403e-87f9-ad92a6bde191.jpg?v=1695415322,Parryware 15mm Uno Quarter Single Lever Bib Cock T5004A1
parryware-flush-valve-single-flush-concealed-t3302a1,Parryware Flush Valve Single Flush Concealed T3302A1,Faucet,,,HAFA0959-22371873,0.0,3720.0,4790.0,Parryware is the finest quality and rest assured to get the best in terms of both durability and performance,Parryware,Items in Pack : 1 Piece| Product Type  Concealed Flush Valve| Diameter  40 mm,,Immediately return goods on delivery in case of any damages found.,httpswww.moglix.comparryware-flush-valve-single-flush-concealed-t3302a1mpmsn2vhjzb9l3kx,10 Years Manufacturer Warranty from date of invoice,https://betterhomeapp.com/products/parryware-flush-valve-single-flush-concealed-t3302a1,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/42fb44ed-50ad-4762-b470-e9e8baeb26f4.jpg?v=1695415313,Parryware Flush Valve Single Flush Concealed T3302A1
parryware-smart-high-neck-pillar-tap-g3764a1,Parryware Smart High Neck Pillar Tap G3764A1,Faucet,,,HAFA0958-22371872,0.0,1595.0,1980.0,Parryware is the finest quality and rest assured to get the best in terms of both durability and performance,Parryware,Model : Smart| Product Type  High Neck Pillar Tap| Finish  Chrome| Material :	Stainless Steel| Diameter :	1.3 cm| Installation Type :	Table Mount| Color :	Silver,,Immediately return goods on delivery in case of any damages found.,httpswww.moglix.comparryware-smart-high-neck-pillar-tap-g3764a1mpmsn2r9dplm4v1v,10 Years Manufacturer Warranty from date of invoice,https://betterhomeapp.com/products/parryware-smart-high-neck-pillar-tap-g3764a1,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/0c4c46b5-e5c7-494b-b0bd-c7488de51f40.jpg?v=1695415304,Parryware Smart High Neck Pillar Tap G3764A1
parryware-15mm-uno-quarter-single-lever-wall-mounting-sink-mixer-t5035a1,Parryware Uno Quarter Single Lever Wall Mounting Sink Mixer T5035A1,Faucet,,Bathroom and Kitchen fixtures,HAFA0948-22371860,0.0,2940.0,3760.0,Parryware is the finest quality and rest assured to get the best in terms of both durability and performance,Parryware,Series : Uno| Type : Quarter Turn| Inlet Size : 15 mm| Lever : Single| Model : T5035A1| Material : Chrome Plated Brass| Weight : 4 kg,,Immediately return goods on delivery in case of any damages found.,httpswww.moglix.comparryware-15mm-uno-quarter-single-lever-wall-mounting-sink-mixer-t5035a1mpmsn19z23v1n353,10 Years Manufacturer Warranty from date of invoice,https://betterhomeapp.com/products/parryware-15mm-uno-quarter-single-lever-wall-mounting-sink-mixer-t5035a1,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/91019a36-5cc2-4f97-86b3-d8527b355291.jpg?v=1695415295,Parryware 15mm Uno Quarter Single Lever Wall Mounting Sink Mixer T5035A1
parryware-claret-3-4-inch-concealed-stop-cock-t4612a1,Parryware Claret 34 inch Concealed Stop Cock T4612A1,Bathroom Fittings,Hardware Plumbing Plumbing Fixtures,,HAFA0946-22371858,0.0,1088.0,1350.0,Parryware Claret stop cock is of the finest quality suited for washbasin and bathtub. Be rest assured to get the best in terms of both durability and performance. Buy original Parryware stop cock at wholesale prices from Better Home.,Parryware,Series : Claret| Type : Quarter Turn Range| Material : Inner Head: Ceramic| Weight : 2 kg,,Immediately return goods on delivery in case of any damages found.,httpswww.moglix.comparryware-claret-3-4-inch-concealed-stop-cock-t4612a1mpmsn2km14xp889v,1 year manufacturer warranty,https://betterhomeapp.com/products/parryware-claret-3-4-inch-concealed-stop-cock-t4612a1,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/ce07cdc5-cc0d-40c8-adc4-e86069e9e8f2.jpg?v=1695415285,Parryware Claret 34 inch Concealed Stop Cock T4612A1
parryware-crust-single-lever-wall-mixer-g3118a1,Parryware Crust Single Lever Wall Mixer G3118A1,Faucet,,,HAFA0939-22371839,0.0,4361.0,5510.0,Parryware is the finest quality and rest assured to get the best in terms of both durability and performance,Parryware,"Type : Single Lever Range| Model : Crust| Aerator type: Integrated aerator| Cartridge features: Flow brake| Diverter: Manual| Finish: Chrome| Flow rate (l/min - 3 bar): 9| Installation type: Wall-mounted| Spout length (mm): 158.5| Spout position: Central| Type of cartridge: Ceramic| Water connection diameter (mm): 12.5| Water connection thread: 1/2""",,Immediately return goods on delivery in case of any damages found.,httpswww.moglix.comparryware-crust-single-lever-wall-mixer-g3118a1mpmsn2r97bvp9xp7,10 Years Manufacturer Warranty from date of invoice,https://betterhomeapp.com/products/parryware-crust-single-lever-wall-mixer-g3118a1,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/287e38a4-cfd5-4724-be45-ce8d599a6db3.jpg?v=1695415266,Parryware Crust Single Lever Wall Mixer G3118A1
parryware-agate-3-inlet-concealed-diverter-body-t9969a1,Parryware Agate 3 Inlet Concealed Diverter Body T9969A1,Faucet,,Bathroom and Kitchen fixtures,HAFA0938-22371838,0.0,3672.0,4730.0,Parryware is the finest quality and rest assured to get the best in terms of both durability and performance,Parryware,Type : Quarter Turn Range| Model : Agate| Material : Brass| Finish : Chrome| Suitable For : Shower,,Immediately return goods on delivery in case of any damages found.,httpswww.moglix.comparryware-agate-3-inlet-concealed-diverter-body-t9969a1mpmsn2r961y1t7x7,5 Years Manufacturer Warranty from date of invoice,https://betterhomeapp.com/products/parryware-agate-3-inlet-concealed-diverter-body-t9969a1,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/8abfcdc5-f226-43be-b3f9-c43967271bbb.jpg?v=1695415257,Parryware Agate 3 Inlet Concealed Diverter Body T9969A1
parryware-15mm-uno-quarter-single-lever-basin-mixer-t5065a1,Parryware Uno Quarter Single Lever Basin Mixer T5065A1,Faucet,,Bathroom and Kitchen fixtures,HAFA0936-22371831,0.0,2856.0,3650.0,Parryware is the finest quality and rest assured to get the best in terms of both durability and performance,Parryware,Series : Uno| Type : Quarter Turn| Inlet Size : 15 mm| Lever : Single| Model : T5065A1| Material : Chrome Plated Brass| Weight : 5 kg,,Immediately return goods on delivery in case of any damages found.,httpswww.moglix.comparryware-15mm-uno-quarter-single-lever-basin-mixer-t5065a1mpmsnl5glzoglyk4,10 Years Manufacturer Warranty from date of invoice,https://betterhomeapp.com/products/parryware-15mm-uno-quarter-single-lever-basin-mixer-t5065a1,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/2fe753e0-aa88-4274-90a1-56731e622aa8.jpg?v=1695415248,Parryware 15mm Uno Quarter Single Lever Basin Mixer T5065A1
parryware-claret-pillar-cock-t4601a1,Parryware Claret Pillar Cock T4601A1,Bathroom Fittings,Hardware Plumbing Plumbing Fixtures,,HAFA0935-22371830,0.0,985.0,1210.0,Parryware Claret pillar cock is of the finest quality suited for washbasin and bathtub. Be rest assured to get the best in terms of both durability and performance. Buy original Parryware pillar cock at wholesale prices from Better Home.,Parryware,Series : Claret| Type : Quarter Turn Range| Material : Inner Head: Ceramic| Weight : 3 kg,,Immediately return goods on delivery in case of any damages found.,httpswww.moglix.comparryware-claret-pillar-cock-t4601a1mpmsnnkqglo6xv9x,1 year manufacturer warranty,https://betterhomeapp.com/products/parryware-claret-pillar-cock-t4601a1,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/6f7714a8-12d6-47e7-901e-88ee805a1097.jpg?v=1695415239,Parryware Claret Pillar Cock T4601A1
parryware-15mm-uno-quarter-3-in-1-single-lever-wall-mixer-t5017a1,Parryware Uno Quarter 3-In-1 Single Lever Wall Mixer T5017A1,Faucet,,Bathroom and Kitchen fixtures,HAFA0933-22371828,0.0,4987.0,6680.0,Parryware is the finest quality and rest assured to get the best in terms of both durability and performance,Parryware,Series : Uno| Type : Quarter Turn| Lever : Single| Model : T5017A1| Material : Chrome Plated Brass| Weight : 7 kg,,Immediately return goods on delivery in case of any damages found.,httpswww.moglix.comparryware-15mm-uno-quarter-3-in-1-single-lever-wall-mixer-t5017a1mpmsnr50n4dz4451,10 Years Manufacturer Warranty from date of invoice,https://betterhomeapp.com/products/parryware-15mm-uno-quarter-3-in-1-single-lever-wall-mixer-t5017a1,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/ff6607a4-c8a0-4a0e-9817-4ac25072b7dd.jpg?v=1695415230,Parryware 15mm Uno Quarter 3-In-1 Single Lever Wall Mixer T5017A1
parryware-15mm-uno-quarter-single-lever-two-way-angle-valve-t5043a1,Parryware Uno Quarter Single Lever Two Way Angle Valve T5043A1,Faucet,,Bathroom and Kitchen fixtures,HAFA0932-22371827,0.0,1339.0,1640.0,Parryware is the finest quality and rest assured to get the best in terms of both durability and performance,Parryware,Series : Uno| Type : Quarter Turn| Inlet Size : 15 mm| Lever : Single| Model : T5043A1| Material : Chrome Plated Brass| Weight : 2 kg,,Immediately return goods on delivery in case of any damages found.,httpswww.moglix.comparryware-15mm-uno-quarter-single-lever-two-way-angle-valve-t5043a1mpmsnq94pg78jnk0,10 Years Manufacturer Warranty from date of invoice,https://betterhomeapp.com/products/parryware-15mm-uno-quarter-single-lever-two-way-angle-valve-t5043a1,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/6a08f515-43e7-4150-acdb-cbfb81435d78.jpg?v=1695415221,Parryware 15mm Uno Quarter Single Lever Two Way Angle Valve T5043A1
parryware-droplet-brass-angle-valve-g4707a1,Parryware Droplet Brass Angle Valve G4707A1,Faucet,,,HAFA0928-22371822,0.0,1014.0,1210.0,Inlet Connection. Quarter-turn with Ceramic Innerhead. Anti-Corrosive Easy to Clean Easy to Install. Elegant Finish Stunning Shimmering.,Parryware,Series : Droplet| Material : Brass| Finish : Glossy Chrome| Suitable For : Bathroom| Items in Pack : 1 Piece,,Immediately return goods on delivery in case of any damages found.,httpswww.moglix.comparryware-droplet-brass-angle-valve-g4707a1mpmsn2r9cfo707qr,10 Years Manufacturer Warranty from date of invoice,https://betterhomeapp.com/products/parryware-droplet-brass-angle-valve-g4707a1,Glossy Chrome Finish,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/7cd03ad9-c30d-4094-8234-57e26015ff74.jpg?v=1695415203,Parryware Droplet Brass Angle Valve G4707A1
parryware-trio-two-way-bibcock-g1934a1,Parryware Trio Two Way Bibcock G1934A1,Faucet,,,HAFA0926-22371819,0.0,2029.0,2520.0,Parryware is the finest quality and rest assured to get the best in terms of both durability and performance,Parryware,"Type : Quarter Turn Range| Model : Trio| Aerator type: Integrated aerator| Diverter: Manual| Finish: Chrome| Flow rate (l/min - 3 bar): 9| Installation type: Wall-mounted| Spout position: Central| Twin lever control: 1/4 Turn| Water connection thread: 1/2""| Type of cartridge: Standard headwork",,Immediately return goods on delivery in case of any damages found.,httpswww.moglix.comparryware-trio-two-way-bibcock-g1934a1mpmsn2r9285la2pp,10 Years Manufacturer Warranty from date of invoice,https://betterhomeapp.com/products/parryware-trio-two-way-bibcock-g1934a1,,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/041486a3-e7d2-4fdc-9ecd-faf6f4a0e8b5.jpg?v=1695415194,Parryware Trio Two Way Bibcock G1934A1
parryware-droplet-brass-bib-faucet-with-nozzle-g4769a1,Parryware Droplet Brass Bib Faucet with Nozzle G4769A1,Faucet,,,HAFA0925-22371818,0.0,1127.0,1360.0,Inlet Connection. Quarter-turn with Ceramic Innerhead. Anti-Corrosive Easy to Clean Easy to Install. Elegant Finish Stunning Shimmering.,Parryware,Series : Droplet| Material : Brass| Finish : Glossy Chrome| Suitable For : Bathroom| Items in Pack : 1 Piece,,Immediately return goods on delivery in case of any damages found.,httpswww.moglix.comparryware-droplet-brass-bib-faucet-with-nozzle-g4769a1mpmsn2r9285tm54x,10 Years Manufacturer Warranty from date of invoice,https://betterhomeapp.com/products/parryware-droplet-brass-bib-faucet-with-nozzle-g4769a1,Chrome Finish,,,,https://cdn.shopify.com/s/files/1/0810/5240/1956/files/d323735d-4866-46a2-be07-df3cd6c2b9dc.jpg?v=1695415186,Parryware Droplet Brass Bib Faucet with Nozzle G4769A1
